18.2,30.963,182.472,82.112,0.755457
18.6,38.598,192.789,86.755,0.781349
22.3,36.228,305.089,137.290,0.763173
19.4,42.021,214.464,96.509,0.813098
19.0,18.770,203.452,91.553,0.790852
26.6,36.509,476.613,214.476,0.745499
17.1,31.331,155.846,70.131,0.68184
22.5,35.107,312.059,140.427,0.608385
21.4,27.499,274.892,123.701,0.739669
16.3,16.795,138.054,62.124,0.613075
22.3,33.634,305.089,137.290,0.71122
18.0,29.174,177.441,79.849,0.694604
17.0,23.344,153.551,69.098,0.663924
19.9,18.093,228.725,102.926,0.700007
19.3,17.512,211.678,95.255,0.704735
21.2,17.308,268.439,120.797,0.673985
24.2,24.168,375.205,168.842,0.726534
21.5,20.327,278.154,125.169,0.630771
16.8,13.617,149.021,67.060,0.687041
17.0,23.631,153.551,69.098,0.60401
17.2,22.190,158.162,71.173,0.739706
21.3,37.191,271.654,122.244,0.741978
17.0,21.001,153.551,69.098,0.655456
24.5,21.206,387.084,174.188,0.67635
17.0,15.567,153.551,69.098,0.68669
20.5,18.923,246.577,110.960,0.73394
17.7,17.886,170.054,76.524,0.707455
22.3,34.354,305.089,137.290,0.714626
23.4,37.733,344.613,155.076,0.684875
13.3,30.655,82.520,37.134,0.725121
18.2,24.127,182.472,82.112,0.696053
17.9,23.852,174.958,78.731,0.697906
19.7,31.260,222.954,100.329,0.76662
17.4,21.533,162.857,73.285,0.748612
25.0,37.466,407.384,183.323,0.701196
19.7,24.823,222.954,100.329,0.67641
22.5,26.200,312.059,140.427,0.676562
22.5,35.153,312.059,140.427,0.69091
20.8,29.444,255.809,115.114,0.660435
16.6,17.810,144.574,65.058,0.690938
17.0,23.944,153.551,69.098,0.640112
16.8,21.860,149.021,67.060,0.707379
21.3,27.848,271.654,122.244,0.674247
11.0,7.177,51.043,22.970,0.688681
15.0,12.436,111.873,50.343,0.657659
16.2,11.607,135.922,61.165,0.76988
17.1,24.847,155.846,70.131,0.709774
14.6,16.506,104.479,47.015,0.751065
21.0,29.051,262.078,117.935,0.683135
16.2,20.919,135.922,61.165,0.734066
20.0,17.818,231.644,104.240,0.653014
19.8,20.854,225.828,101.623,0.741411
18.1,12.545,179.946,80.976,0.68573
17.4,21.713,162.857,73.285,0.756389
15.2,16.686,115.686,52.059,0.740571
16.1,20.573,133.809,60.214,0.704765
19.1,23.028,206.172,92.777,0.736181
17.1,27.384,155.846,70.131,0.746438
14.7,11.931,106.299,47.834,0.753125
22.2,20.486,301.640,135.738,0.670542
